"Raca","Sexo","EstadoCivil","NumPessoasFam","IdadeAnos","RendTrabPrinc","RendTrabDemais","RendOutrasFontes"
"Parda","Feminino","Solteiro(a)",4,32,400,0,0
"Parda","Masculino","Solteiro(a)",5,34,510,0,0
"Branca","Feminino","Solteiro(a)",5,29,510,0,0
"Branca","Feminino","Solteiro(a)",4,29,510,0,0
"Parda","Feminino","Solteiro(a)",4,41,510,0,0
"Preta","Masculino","Solteiro(a)",6,24,510,0,0
"Preta","Masculino","Solteiro(a)",6,30,400,0,0
"Preta","Masculino","Solteiro(a)",6,26,510,0,0
"Parda","Masculino","Solteiro(a)",4,40,510,0,0
"Preta","Feminino","Solteiro(a)",2,36,510,0,0
"Parda","Masculino","Solteiro(a)",4,23,510,0,0
"Parda","Feminino","Solteiro(a)",4,20,510,0,0
"Parda","Feminino","Solteiro(a)",5,41,510,0,0
"Preta","Feminino","Solteiro(a)",4,24,450,0,0
"Branca","Masculino","Solteiro(a)",3,25,510,0,0
"Preta","Feminino","Solteiro(a)",4,41,500,0,0
"Branca","Feminino","Solteiro(a)",4,27,500,0,0
"Parda","Feminino","Solteiro(a)",3,24,510,0,0
"Parda","Masculino","Solteiro(a)",4,19,510,0,0
"Parda","Feminino","Solteiro(a)",4,25,510,0,0
"Branca","Masculino","Solteiro(a)",3,21,500,0,0
"Parda","Masculino","Solteiro(a)",6,18,510,0,0
"Preta","Feminino","Solteiro(a)",3,37,400,0,0
"Branca","Feminino","Solteiro(a)",2,21,510,0,0
"Branca","Masculino","Solteiro(a)",3,18,400,0,0
"Branca","Feminino","Solteiro(a)",4,32,510,0,0
"Parda","Feminino","Solteiro(a)",3,21,510,0,0
"Branca","Feminino","Solteiro(a)",6,18,510,0,0
"Branca","Feminino","Solteiro(a)",5,18,500,0,0
"Branca","Feminino","Solteiro(a)",3,61,425,0,0
"Parda","Feminino","Solteiro(a)",1,36,510,0,0
"Branca","Masculino","Solteiro(a)",5,19,510,0,0
"Parda","Feminino","Solteiro(a)",4,29,510,0,0
"Preta","Masculino","Solteiro(a)",3,38,500,0,0
"Parda","Feminino","Solteiro(a)",4,27,500,0,0
"Branca","Feminino","Solteiro(a)",3,28,500,0,0
"Parda","Feminino","Solteiro(a)",4,19,510,0,0
"Parda","Feminino","Solteiro(a)",4,48,432,0,0
"Branca","Feminino","Solteiro(a)",3,38,510,0,0
"Parda","Feminino","Solteiro(a)",3,20,500,0,0
"Branca","Feminino","Solteiro(a)",4,19,500,0,0
"Parda","Masculino","Solteiro(a)",3,18,510,0,0
"Parda","Feminino","Solteiro(a)",4,25,510,0,0
"Branca","Masculino","Solteiro(a)",4,20,500,0,0
"Parda","Feminino","Solteiro(a)",2,35,510,0,0
